Player,Team,Nationality,Kill,Death,K/D,KAST (%),Prize ($),Role,HS (%),Rounds Played,Rounds Win,Rounds Lose,Rank
Demon1,Evil Geniuses,United States,421,302,1.39,73,"2,00,000",Flex,40,459,258,201,1
Boostio,Evil Geniuses,United States,291,335,0.87,70,"2,00,000",Flex,23,459,258,201,1
 jawgemo,Evil Geniuses,Cambodia,362,325,1.11,74,"2,00,000",Flex,19,459,258,201,1
Ethan,Evil Geniuses,United States,303,303,1.07,78,"2,00,000",Flex,21,459,258,201,1
C0M,Evil Geniuses,United States,330,294,1.12,74,"2,00,000",Flex,21,459,258,201,1
something,Paper Rex,Russia,269,245,1.1,72,"80,000",Duelist,22,358,187,171,2
Jinggg,Paper Rex,Singapore,285,279,1.02,72,"80,000",Duelist,22,358,187,171,2
f0rsakeN,Paper Rex,Indonesia,256,255,1,71,"80,000",Flex,26,358,187,171,2
d4v41,Paper Rex,Malaysia,243,227,1.07,77,"80,000",Flex,30,358,187,171,2
mindfreak,Paper Rex,Indonesia,214,220,0.97,72,"80,000",Controller,30,358,187,171,2
aspas,LOUD,Brazil,446,355,1.26,76,"50,000",Duelist,25,515,276,239,3
Less,LOUD,Brazil,416,344,1.21,73,"50,000",Flex,24,515,276,239,3
cauanzin,LOUD,Brazil,391,348,1.12,76,"50,000",Initiator,25,515,276,239,3
tuyz,LOUD,Brazil,304,317,0.96,75,"50,000",Controller,29,515,276,239,3
saadhak,LOUD,Argentina,310,355,0.87,73,"50,000",Flex,19,515,276,239,3
Boaster,FNATIC,United Kingdom,163,182,0.9,72,"26,000",Controller,23,270,146,124,4
Alfajer,FNATIC,Turkey,233,168,1.39,73,"26,000",Sentinal,28,270,146,124,4
Derke,FNATIC,Finland,206,180,1.14,66,"26,000",Duelist,24,270,146,124,4
Leo,FNATIC,Sweden,201,147,1.37,82,"26,000",Initiator,27,270,146,124,4
Chronical,FNATIC,Russia,156,176,0.89,72,"26,000",Flex,23,270,146,124,4
ZmjjKK,EDward Gaming,China,286,273,1.05,65,"17,000",Duelist,18,358,178,180,"5, 6"
CHICHOO,EDward Gaming,China,245,236,1.04,72,"17,000",Flex,16,358,178,180,"5, 6"
Smoggy,EDward Gaming,China,261,265,0.98,69,"17,000",Flex,30,358,178,180,"5, 6"
nobody,EDward Gaming,China,248,266,0.93,72,"17,000",Initiator,30,358,178,180,"5, 6"
Haodong,EDward Gaming,China,212,254,0.83,74,"17,000",Controller,30,358,178,180,"5, 6"
MaKo,DRX,South Korea,183,189,0.97,73,"17,000",Controller,31,283,144,139,"5, 6"
BuZz,DRX,South Korea,221,216,1.02,71,"17,000",Duelist,22,283,144,139,"5, 6"
Zest,DRX,South Korea,197,201,0.98,67,"17,000",Flex,35,283,144,139,"5, 6"
stax,DRX,South Korea,182,198,0.92,68,"17,000",Initiator,33,283,144,139,"5, 6"
Rb,DRX,South Korea,163,191,0.85,65,"17,000",Sentinal,23,283,144,139,"5, 6"
MrFalin,FUT Esports,Turkey,160,143,1.12,72,"10,000",Flex,25,216,103,113,"7, 8"
AtaKaptan,FUT Esports,Turkey,136,154,0.88,70,"10,000",Controller,30,216,103,113,"7, 8"
qRaxs,FUT Esports,Turkey,145,155,0.94,72,"10,000",Initiator,31,216,103,113,"7, 8"
MOJJ,FUT Esports,Turkey,141,152,0.93,67,"10,000",Flex,30,216,103,113,"7, 8"
qw1,FUT Esports,Turkey,151,163,0.93,64,"10,000",Duelist,28,216,103,113,"7, 8"
whzy,Bilibili Gaming,China,212,181,1.17,71,"10,000",Duelist,19,227,111,116,"7, 8"
Yosemite,Bilibili Gaming,China,172,166,1.04,73,"10,000",Flex,23,227,111,116,"7, 8"
Biank,Bilibili Gaming,China,157,172,0.89,71,"10,000",Initiator,28,227,111,116,"7, 8"
Knight,Bilibili Gaming,China,212,254,0.91,70,"10,000",Flex,30,227,111,116,"7, 8"
rin,Bilibili Gaming,China,122,167,0.73,66,"10,000",Controller,23,227,111,116,"7, 8"
