,date,ticker,variable,value
0,2018-01-02,AAPL,open,166.9271
1,2018-01-02,AMZN,open,1172.0
2,2018-01-02,FB,open,177.68
3,2018-01-02,GOOG,open,1048.34
4,2018-01-02,NFLX,open,196.1
5,2018-01-03,AAPL,open,169.2521
6,2018-01-03,AMZN,open,1188.3
7,2018-01-03,FB,open,181.88
8,2018-01-03,GOOG,open,1064.31
9,2018-01-03,NFLX,open,202.05
10,2018-01-04,AAPL,open,169.2619
11,2018-01-04,AMZN,open,1205.0
12,2018-01-04,FB,open,184.9
13,2018-01-04,GOOG,open,1088.0
14,2018-01-04,NFLX,open,206.2
15,2018-01-05,AAPL,open,170.1448
16,2018-01-05,AMZN,open,1217.51
17,2018-01-05,FB,open,185.59
18,2018-01-05,GOOG,open,1094.0
19,2018-01-05,NFLX,open,207.25
20,2018-01-08,AAPL,open,171.0375
21,2018-01-08,AMZN,open,1236.0
22,2018-01-08,FB,open,187.2
23,2018-01-08,GOOG,open,1102.23
24,2018-01-08,NFLX,open,210.02
25,2018-01-09,AAPL,open,171.2337
26,2018-01-09,AMZN,open,1256.9
27,2018-01-09,FB,open,188.7
28,2018-01-09,GOOG,open,1109.4
29,2018-01-09,NFLX,open,212.11
30,2018-01-10,AAPL,open,169.8701
31,2018-01-10,AMZN,open,1245.15
32,2018-01-10,FB,open,186.94
33,2018-01-10,GOOG,open,1097.1
34,2018-01-10,NFLX,open,207.57
35,2018-01-11,AAPL,open,171.2729
36,2018-01-11,AMZN,open,1259.74
37,2018-01-11,FB,open,188.4
38,2018-01-11,GOOG,open,1106.3
39,2018-01-11,NFLX,open,214.29
40,2018-01-12,AAPL,open,172.8327
41,2018-01-12,AMZN,open,1273.39
42,2018-01-12,FB,open,178.06
43,2018-01-12,GOOG,open,1102.41
44,2018-01-12,NFLX,open,217.18
45,2018-01-16,AAPL,open,174.52
46,2018-01-16,AMZN,open,1323.0
47,2018-01-16,FB,open,181.5
48,2018-01-16,GOOG,open,1132.51
49,2018-01-16,NFLX,open,224.24
50,2018-01-17,AAPL,open,172.8033
51,2018-01-17,AMZN,open,1312.24
52,2018-01-17,FB,open,179.26
53,2018-01-17,GOOG,open,1126.22
54,2018-01-17,NFLX,open,221.0
55,2018-01-18,AAPL,open,175.9621
56,2018-01-18,AMZN,open,1293.95
57,2018-01-18,FB,open,178.13
58,2018-01-18,GOOG,open,1131.41
59,2018-01-18,NFLX,open,220.34
60,2018-01-19,AAPL,open,175.2166
61,2018-01-19,AMZN,open,1312.0
62,2018-01-19,FB,open,180.85
63,2018-01-19,GOOG,open,1131.83
64,2018-01-19,NFLX,open,222.75
65,2018-01-22,AAPL,open,173.9314
66,2018-01-22,AMZN,open,1297.17
67,2018-01-22,FB,open,180.8
68,2018-01-22,GOOG,open,1137.49
69,2018-01-22,NFLX,open,222.0
70,2018-01-23,AAPL,open,173.9314
71,2018-01-23,AMZN,open,1338.09
72,2018-01-23,FB,open,186.05
73,2018-01-23,GOOG,open,1159.85
74,2018-01-23,NFLX,open,255.05
75,2018-01-24,AAPL,open,173.8824
76,2018-01-24,AMZN,open,1374.82
77,2018-01-24,FB,open,189.89
78,2018-01-24,GOOG,open,1177.33
